pert_iname,inchi_key,canonical_smiles,pubchem_cid
labetalol,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,-666
cilnidipine,KJEBULYHNRNJTE-UHFFFAOYSA-N,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCC=Cc3ccccc3)C,-666
deoxycholic-acid,KXGVEGMKQFWNSR-DVASNTQSSA-N,CC(CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,6742
racecadotril,ODUOJXZPIYUATO-UHFFFAOYSA-N,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,107751
alfuzosin,WNMJYKCGWZFFKR-UHFFFAOYSA-N,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1,-666
chlorpromazine,SUQUPCVMBMERJG-UHFFFAOYSA-N,CN(C)CCC[N+]1([O-])c2ccccc2Sc2ccc(Cl)cc12,160588
strychnine,QMGVPVSNSZLJIA-OFYMUHMXSA-N,O=C1CC2OCC=C3CN4CC[C@@]56C4C[C@@H]3[C@@H]2C5N1c1ccccc61,-666
flecainide,DJBNUMBKLMJRSA-UHFFFAOYSA-N,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1,-666
verapamil,SGTNSNPWRIOYBX-UHFFFAOYSA-N,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,62969
SKF-81297,GHWJEDJMOVUXEC-UHFFFAOYSA-N,Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1,11957706
dexamethasone,UREBDLICKHMUKA-QCYOSJOCSA-N,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-666
talampicillin,SOROUYSPFADXSN-SUWVAFIASA-N,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC4OC(=O)c5ccccc45,-666
norketamine,BEQZHFIKTBVCAU-UHFFFAOYSA-N,NC1(CCCCC1=O)c2ccccc2Cl,123767
talampicillin,SOROUYSPFADXSN-NXTKQQBESA-N,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc12,73707484
carvedilol,OGHNVEJMJSYVRP-UHFFFAOYSA-N,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-666
pravastatin,TUZYXOIXSAXUGO-UHFFFAOYSA-N,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12,4889
SB-205607,LEPBHAAYNPPRRA-UHFFFAOYSA-N,CN1CCC2(Cc3nc4ccccc4cc3CC2C1)c5cccc(O)c5,3277599
wortmannin,QDLHCMPXEPAAMD-ZGSWIPFCSA-N,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)C)[C@]1(C)c23,-666
triciribine,HOGVTUZUJGHKPL-XVCUJNKASA-N,Cn1nc(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23,16759157
AM-92016,BQBSHJUQVIWEFM-UHFFFAOYSA-N,CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1,-666
LY-278584,DDHAJFBBJWHSBR-UHFFFAOYSA-N,CN1C2CCC1CC(C2)NC(=O)c3nn(C)c4ccccc34,3970
nitrendipine,NDYAXPIAEFCPMJ-UHFFFAOYSA-N,CCOC(=O)C1C(C(=C(C)N=C1C)C(=O)OC)c2cccc(c2)[N+](=O)[O-],4507
BRD-A13346522,JAFIERFWYHDPAD-UHFFFAOYSA-N,CCn1cc(CN2CCCC(C2)C(=O)c3cccc(c3)C(F)(F)F)cn1,44629407
BRD-A13461302,FXOBIDROVMXPBW-UHFFFAOYSA-N,CC1CC(=O)C2C(O)(C1)CC(O)C34OC4c5c(O)cccc5C(=O)C23O,23874505
flucloxacillin,UIOFUWFRIANQPC-SNVMCYLTSA-N,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)C(O)=O)-c1c(F)cccc1Cl,6713996
BRD-A13914662,DDRGAGSWKRPPPE-UHFFFAOYSA-N,COc1cc2CCN(Cc3ccc(o3)[N+](=O)[O-])C(c4cccs4)c2cc1O,23863790
BRD-A13964793,FYGREZKTJIXWIH-UHFFFAOYSA-N,OC12C3C4C5C3C(C3C5CC4C13)N2CCc1cccc(F)c1,10040286
mesoridazine,SLVMESMUVMCQIY-UHFFFAOYSA-N,CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,4078
scopolamine,STECJAGHUSJQJN-UHFFFAOYSA-N,CN1C2CC(CC1C3OC32)OC(=O)C(CO)c4ccccc4,2837667
UB-165,TVSNVPGPFGAKPT-UHFFFAOYSA-N,Clc1ccc(cn1)C1=CCCC2CCC1N2,4694339
bucladesine,ZKSUYDZTGVUZGX-BKCXMMJFSA-N,CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2OP(O)(=O)OC[C@@H]2[C@H]1OC(=O)CCC,73707507
valsartan,ACWBQPMHZXGDFX-UHFFFAOYSA-N,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)C(C(C)C)C(O)=O,5650
mestranol,IMSSROKUHAOUJS-VYJKVFMHSA-N,COc1ccc2C3CC[C@@]4(C)C(CC[C@@]4(O)C#C)C3CCc2c1,12598376
alaproclate,FZSPJBYOKQPKCD-UHFFFAOYSA-N,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,-666
bucladesine,ZKSUYDZTGVUZGX-VBJMPTANSA-N,CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]3O[C@@H]4OP(=O)(O)OC[C@H]4[C@H]3OC(=O)CCC,-666
benazepril,XPCFTKFZXHTYIP-UHFFFAOYSA-N,CCOC(=O)C(CCc1ccccc1)NC2CCc3ccccc3N(CC(=O)O)C2=O,-666
GW-1929,QTQMRBZOBKYXCG-UHFFFAOYSA-N,CN(CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(O)=O)cc1)c1ccccn1,-666
BMY-14802,ZXUYYZPJUGQHLQ-UHFFFAOYSA-N,OC(CCCN1CCN(CC1)c1ncc(F)cn1)c1ccc(F)cc1,-666
SDZ-21009,SJYFDORQYYEJLB-UHFFFAOYSA-N,CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,193949
picrotoxin,PIMZUZSSNYHVCU-IGZCVCFJSA-N,CC(=C)[C@H]1[C@H]2OC(=O)C1[C@]1(O)CC3O[C@]33C(=O)O[C@@H]2[C@]13C,73707459
bucladesine,CJGYSWNGNKCJSB-ZBSNKJFMSA-N,CCCC(=O)Nc1ncnc2n(cnc12)C1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC,-666
modafinil,YFGHCGITMMYXAQ-UHFFFAOYSA-N,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,4236
acarbose,XUFXOAAUWZOOIT-UGEKTDRHSA-N,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,41774
amcinonide,ILKJAFIWWBXGDU-UHFFFAOYSA-N,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2133
butoconazole,SWLMUYACZKCSHZ-UHFFFAOYSA-N,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,-666
BADGE,LCFVJGUPQDGYKZ-UHFFFAOYSA-N,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,-666
isoxsuprine,BMUKKTUHUDJSNZ-JRSKDTKFSA-N,CC(COc1ccccc1)NC(C)[C@H](O)c1ccc(O)cc1,-666
podophyllotoxin,YJGVMLPVUAXIQN-UHFFFAOYSA-N,COc1cc(cc(OC)c1OC)C1C2C(COC2=O)C(O)c2cc3OCOc3cc12,4865
nalbuphine,NETZHAKZCGBWSS-OCKIPSRKSA-N,OC1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5OC1[C@]2(CCN3CC6CCC6)c54,23581814
etodolac,YKHKOAOQAYXTKT-UHFFFAOYSA-N,CCC1C=CC=C2C1=NC1=C2CCOC1(CC)CC(O)=O,73707528
rhizocarpic-acid,DGBXJRCEHHYSJC-OANJBFNESA-N,COC(=O)[C@H](Cc1ccccc1)NC(=O)C(\c1ccccc1)=C1/OC(=O)C(C1=O)c1ccccc1,73707395
carprofen,PUXBGTOOZJQSKH-UHFFFAOYSA-N,CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21,-666
MDL-72832,HCVRCHQFYYZPHT-UHFFFAOYSA-N,O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2O1,182585
BRD-A17718497,GLPPUGLLAYNGBF-UHFFFAOYSA-N,CC1CN(CCN1C(=O)c1ccc(Cl)cc1)c1ccnc2cc(Cl)ccc12,46912148
fulvestrant,VWUXBMIQPBEWFH-OWGSCINVSA-N,C[C@]12CC[C@H]3[C@@H]([C@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31,73707501
CPCCOEt,FXCTZFMSAHZQTR-UHFFFAOYSA-N,CCOC(=O)C12CC2C(=NO)c3ccccc3O1,-666
5-iodotubercidin,WHSIXKUPQCKWBY-UHFFFAOYSA-N,Nc1ncnc2n(cc(I)c12)C3OC(CO)C(O)C3O,1830
estriol,PROQIPRRNZUXQM-YDGSGPMOSA-N,C[C@]12CCC3C(CCc4cc(O)ccc34)C1C[C@@H](O)[C@@H]2O,-666
estradiol,VOXZDWNPVJITMN-PAOLREHBSA-N,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2O,-666
trichostatin-a,RTKIYFITIVXBLE-WKWSCTOISA-N,CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,-666
pseudopelletierine,RHWSKVCZXBAWLZ-UHFFFAOYSA-N,CN1C2CCCC1CC(=O)C2,11096
vinpocetine,DDNCQMVWWZOMLN-UHFFFAOYSA-N,CCOC(=O)C1=CC2(CC)CCCN3CCc4c(C32)n1c5ccccc45,5673
geldanamycin,QTQAWLPCGQOSGP-VDYWNIEOSA-N,COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,-666
medrysone,GZENKSODFLBBHQ-IENIWFQZSA-N,C[C@H]1CC2C3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)CCC(=O)C=C12,5702081
danazol,POZRVZJJTULAOH-UHFFFAOYSA-N,CC12CCC3C(CCC4=Cc5oncc5CC34C)C2CCC1(O)C#C,-666
IB-MECA,HUJXGQILHAUCCV-UHFFFAOYSA-N,CNC(=O)C1OC(C(O)C1O)n2cnc3c(NCc4cccc(I)c4)ncnc23,3668
dopamine,CQASRCDNLNMIJY-ZAOAHOKWSA-N,NCCc1ccc(OC2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)c(O)c1,53734236
WAY-213613,BNYDDAAZMBUFRG-UHFFFAOYSA-N,NC(CC(=O)Nc1ccc(Oc2cc(F)c(F)cc2Br)cc1)C(=O)O,24868316
brivanib,WCWUXEGQKLTGDX-UHFFFAOYSA-N,CC(O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,11451527
naltriben,ZHVWWEYETMPAMX-UHFFFAOYSA-N,Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c6oc8ccccc78,4429
praziquantel,FSVJFNAIGNNGKK-UHFFFAOYSA-N,O=C(C1CCCCC1)N1CC2N(CCc3ccccc23)C(=O)C1,-666
amlodipine,HTIQEAQVCYTUBX-UHFFFAOYSA-N,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,-666
estropipate,JKKFKPJIXZFSSB-GUZDXLFXSA-N,C[C@]12CCC3C(CCc4cc(OS(O)(=O)=O)ccc34)C1CCC2=O,-666
pantoprazole,IQPSEEYGBUAQFF-UHFFFAOYSA-N,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,4679
SB-205384,JDTZAGLGBRRCJT-UHFFFAOYSA-N,CC#CCOC(=O)c1c(C)nc2sc3CC(O)CCc3c2c1N,197690
vinblastine,SLIRURSWQCRWFG-UHFFFAOYSA-N,CCC1(O)CC2CN(C1)CCc3c([nH]c4ccccc34)C(C2)(C(=O)OC)c5cc6c(cc5OC)N(C)C7C86CCN9CC=CC(CC)(C98)C(C(=O)OC)C7(O)C(=O)OC,5667
pinacidil,IVVNZDGDKPTYHK-UHFFFAOYSA-N,CC(C(C)(C)C)\N=C(/NC#N)Nc1ccncc1,4826
pheniramine,IJHNSHDBIRRJRN-UHFFFAOYSA-N,CN(C)CCC(c1ccccc1)c1ccccn1,4761
estradiol,QAHOQNJVHDHYRN-UHFFFAOYSA-N,CC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,628698
NAS-181,RTKDBEOSPDFLGD-UHFFFAOYSA-N,C(Oc1cccc2C=C(CN3CCOCC3)COc12)C4CNCCO4,4233538
paclitaxel,RCINICONZNJXQF-UHFFFAOYSA-N,CC(=O)OC1C2=C(C)C(CC(O)(C(OC(=O)c3ccccc3)C4C5(COC5CC(O)C4(C)C1=O)OC(=O)C)C2(C)C)OC(=O)C(O)C(NC(=O)c6ccccc6)c7ccccc7,4666
sirolimus,QFJCIRLUMZQUOT-GWUMUYGYSA-N,CO[C@@H]1CC(CC(C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@@H](C)C[C@H](C)\C=C\C=C\C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O,73707374
rifabutin,KTYFUEQGJABZDI-OUQGXSTASA-N,CCC(C)N1CCC2(CC1)NC3=C4NC(=O)C(=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@H](C)[C@@H](OC)C=CO[C@@]5(C)Oc6c(C5=O)c(C3=N2)c(C4=O)c(O)c6C)C,5482874
saclofen,JYLNVJYYQQXNEK-UHFFFAOYSA-N,NCC(CS(O)(=O)=O)c1ccc(Cl)cc1,122150
BE-2254,PZZOEXPDTYIBPI-UHFFFAOYSA-N,Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1,34772
warfarin,PJVWKTKQMONHTI-UHFFFAOYSA-N,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-666
nimodipine,BAARDDGSQHXDDB-UHFFFAOYSA-N,COCCOC(=O)C1C(C(=C(C)N=C1C)C(=O)OC(C)C)c2cccc(c2)[N+](=O)[O-],4497
hydrocortisone-valerate,FZCHYNWYXKICIO-BXLKFAEVSA-N,CCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C)C(=O)CO,45006145
aminoglutethimide,ROBVIMPUHSLWNV-UHFFFAOYSA-N,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1,-666
AT-SUMO-1,GBENPFHLRCFAOS-UHFFFAOYSA-N,Brc1ccc(cc1)C(=O)C(CN2CCOCC2)c3ccccc3,24747642
emetine,AUVVAXYIELKVAI-VXNUJMKFSA-N,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3C2C[C@@H]1CC1NCCc2cc(OC)c(OC)cc12,-666
securinine,SWZMSZQQJRKFBP-KKPNGEORSA-N,O=C1OC2(C[C@H]3C=CC2=C1)[C@H]4CCCCN34,6338099
zaldaride,HTGCJAAPDHZCHL-UHFFFAOYSA-N,CC1(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)OCc2ccccc2-n2cccc12,-666
clobetasol,CBGUOGMQLZIXBE-BHPVMOEKSA-N,CCC(=O)O[C@@]1([C@@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)CCl,-666
bulleyaconitine-a,GAZDXIGXYWVWQX-VEWJSYFXSA-N,CCN1C[C@]2(COC)CCC(OC)[C@]3(C4C[C@@]5(O)[C@H](OC(=O)c6ccc(OC)cc6)C4[C@](C[C@H]5OC)(OC(=O)C)[C@H]7[C@H](OC)C32)[C@@H]71,44634652
salsolinol,IBRKLUSXDYATLG-UHFFFAOYSA-N,CC1NCCc2cc(O)c(O)cc12,54456
propafenone,JWHAUXFOSRPERK-UHFFFAOYSA-N,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,4932
chlorthalidone,JIVPVXMEBJLZRO-UHFFFAOYSA-N,NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12,-666
BRD-A26595446,FPMBWSWPBUTVSU-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)C(Cl)C(=O)c2ccccc2,4484064
isamoltane,XVTVPGKWYHWYAD-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccccc1-n1cccc1,127404
BRD-A26962727,ZZZCFNBBQNVYLT-YBFXNURJSA-N,CCOC(=O)C1=C(C)N=c2s\c(=C\c3cc(Cl)c(OCC(O)=O)c(OC)c3)c(=O)n2C1c1ccccc1Cl,2880726
diarylpropionitrile,GHZHWDWADLAOIQ-UHFFFAOYSA-N,Oc1ccc(CC(C#N)c2ccc(O)cc2)cc1,-666
altrenogest,VWAUPFMBXBWEQY-JSRAGOMMSA-N,C[C@]12C=CC3=C4CCC(=O)C=C4CCC3C1CC[C@@]2(O)CC=C,-666
prednisolone,OIGNJSKKLXVSLS-YDAVOWJHSA-N,C[C@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)CO,-666
cucurbitacin-i,NZZOMHODWAPPJH-YOLQPZLMSA-N,CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,73707401
aminomethyltransferase,BATVOUKHGLKDGQ-UHFFFAOYSA-N,CC1CCN=C(N)S1,-666
L-689560,UCKHICKHGAOGAP-UHFFFAOYSA-N,OC(=O)C1CC(NC(=O)Nc2ccccc2)c3c(Cl)cc(Cl)cc3N1,4267713
paclitaxel,RCINICONZNJXQF-VAZQATRQSA-N,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,-666
puromycin,RXWNCPJZOCPEPQ-DYKMBDCPSA-N,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1,5702164
gitoxigenin,PVAMXWLZJKTXFW-YOUFMJPESA-N,C[C@@]12CCC3C(CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@@]2(O)C[C@H](O)[C@@H]1C5=CC(=O)OC5,-666
PCA-4248,DHCNAWNKZMNTIS-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C1C)C(=O)OCCSc1ccccc1,4698
carbinoxamine,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,-666
RWJ-21757,VDCRFBBZFHHYGT-UHFFFAOYSA-N,Nc1nc2n(C3OC(CO)C(O)C3O)c(=O)n(CC=C)c2c(=O)[nH]1,4684627
bicalutamide,LKJPYSCBVHEWIU-UHFFFAOYSA-N,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F,-666
disopyramide,UVTNFZQICZKOEM-UHFFFAOYSA-N,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-666
KIN001-127,RRHONYZEMUNMJX-UHFFFAOYSA-N,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)C)cc3)s2)cc1C(=O)N1CCN(CC1)C(C)=O,20635522
metergoline,WZHJKEUHNJHDLS-UHFFFAOYSA-N,CN1CC(CNC(=O)OCc2ccccc2)CC3C1Cc4cn(C)c5cccc3c45,-666
MR-16728,AGKAAJMNNVUNDK-UHFFFAOYSA-N,O=C(NCCCN1CCCCCC1)C(C1CCCCC1)c1ccccc1,378811
triamcinolone,XGMPVBXKDAHORN-KUZKEXDLSA-N,CC(=O)OCC(=O)[C@@]1(O)[C@@H](CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)OC(=O)C,-666
felodipine,RZTAMFZIAATZDJ-UHFFFAOYSA-N,CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC,3333
